Fri Dec 18 14:06:17 2015    profile

         22048 function calls (21536 primitive calls) in 5.588 seconds

   Ordered by: internal time, file name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.503    5.503    5.589    5.589 play_recording.py:1(<module>)
        1    0.005    0.005    0.006    0.006 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/random/__init__.py:88(<module>)
        1    0.004    0.004    0.004    0.004 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/hermite_e.py:59(<module>)
        1    0.003    0.003    0.014    0.014 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/__init__.py:1(<module>)
      275    0.003    0.000    0.004    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/function_base.py:2940(add_newdoc)
        9    0.003    0.000    0.004    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/collections.py:293(namedtuple)
        1    0.003    0.003    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/polynomial.py:55(<module>)
        1    0.003    0.003    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/laguerre.py:59(<module>)
        1    0.003    0.003    0.020    0.020 default_readers.py:1(<module>)
        1    0.003    0.003    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/hermite.py:59(<module>)
        6    0.003    0.000    0.003    0.001 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.002    0.002    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/legendre.py:83(<module>)
        1    0.002    0.002    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/chebyshev.py:87(<module>)
        1    0.002    0.002    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/socket.py:45(<module>)
        1    0.002    0.002    0.024    0.024 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/__init__.py:1(<module>)
        1    0.002    0.002    0.006    0.006 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/testing/__init__.py:7(<module>)
        1    0.002    0.002    0.063    0.063 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/__init__.py:106(<module>)
    86/31    0.002    0.000    0.004    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:395(_parse)
        1    0.001    0.001    0.064    0.064 /Library/Python/2.7/site-packages/OSC.py:134(<module>)
        1    0.001    0.001    0.002    0.002 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numeric.py:1(<module>)
        1    0.001    0.001    0.002    0.002 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/ctypes/__init__.py:4(<module>)
        1    0.001    0.001    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/__init__.py:38(<module>)
        1    0.001    0.001    0.002    0.002 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/function_base.py:1(<module>)
        1    0.001    0.001    0.005    0.005 natnet_reader.py:1(<module>)
        1    0.001    0.001    0.003    0.003 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/index_tricks.py:1(<module>)
        1    0.001    0.001    0.021    0.021 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/__init__.py:15(<module>)
        1    0.001    0.001    0.013    0.013 /Library/Python/2.7/site-packages/optirx.py:3(<module>)
   179/29    0.001    0.000    0.002    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:64(_compile)
       19    0.001    0.000    0.001    0.000 {_struct.calcsize}
        1    0.001    0.001    0.002    0.002 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/npyio.py:1(<module>)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/linalg/linalg.py:10(<module>)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/collections.py:1(<module>)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/case.py:1(<module>)
        1    0.001    0.001    0.004    0.004 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/__init__.py:45(<module>)
      900    0.001    0.000    0.001    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:193(__next)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:1(<module>)
        1    0.001    0.001    0.065    0.065 default_writers.py:1(<module>)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/heapq.py:31(<module>)
      768    0.001    0.000    0.001    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:141(__getitem__)
        1    0.001    0.001    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/_datasource.py:33(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/shutil.py:5(<module>)
  268/118    0.000    0.000    0.001    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:151(getwidth)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/testing/utils.py:4(<module>)
       52    0.000    0.000    0.000    0.000 {repr}
        1    0.000    0.000    0.002    0.002 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/core.py:21(<module>)
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/linalg/__init__.py:44(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/hex_codec.py:8(<module>)
     3246    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/result.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ctypeslib.py:51(<module>)
